真打,切れ味レベル+攻撃力UP[大]
力の解放+2,効果時間は1分30秒で、発動条件は、下記の2つのどちらかの条件を満たすこと。[1] 大型モンスターと対峙して5分経過する
[2] 180ダメージを受ける
力の開放+2の効果は下記の2つ 
1） 会心率+50%上昇
2） スタミナ消費量が1/4になる
力の解放+1,効果時間は1分30秒で、
発動条件は、下記の2つのどちらかの条件を満たすこと。
[1] 大型モンスターと対峙して5分経過する
[2] 180ダメージを受ける
力の開放+1の効果は下記の2つ
1） 会心率+30%上昇
2） スタミナ消費量が1/2になる
不屈,戦闘不能になるたびに攻撃力と防御力が上昇。
[1回目]　攻撃力1.1倍 ＋ 防御力1.15倍
[2回目]　攻撃力1.2倍 ＋ 防御力1.3倍
フルチャージ,体力が満タンの時のみ攻撃力が上がる。(攻撃力1.1倍)
/////==========================================================================================
ミラバルヘッド	怒+3 防御-3 斬れ味+1 スタミナ+1
胴	ミラバルハイド	怒+1 防御-3 斬れ味+2 スタミナ+3
腕	ミラバルクロウ	刀匠+1 怒+2 防御-3 斬れ味+2
腰	ミラバルウイング	怒+2 防御-3 斬れ味+3 スタミナ+3
脚	ミラバルフット　怒+2 防御-3 斬れ味+2 スタミナ+3
リオソウルヘルム		達人+1　体力-3　聴覚保護+1　斬れ味+2
リオソウルメイル	58	111	達人+3　体力-3　聴覚保護+2　斬れ味+1　		
リオソウルアーム	58	111	達人+5　体力-2　聴覚保護+1　斬れ味+2
リオソウルフォールド	58	111	達人+3　体力-2　聴覚保護+3　斬れ味+3
リオソウルグリーブ	58	111	達人+3　体力-2　聴覚保護+3　斬れ味+2



